ID,Embedding,Document,Metadata
0,"[ 0.2661646   0.21660353 -0.22220555 ...  0.06784643 -0.11329222
 -0.23502557]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 1]
 
 
  
 The 2024 Farm Bill: H.R. 8467 Compared with 
Current Law  
August 27, 2024  
Congressional Research Service  
https://crsreports.congress.gov  
R48167",
1,"[ 0.21191202  0.10613632 -0.04871786 ... -0.36629409  0.13457176
  0.14664957]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 2]
 
Congressional Research Service   
SUMMARY  
 
The 2024 Farm Bill: H.R. 8467 Compared with  
Current Law  
Congress sets food and agriculture policy through periodic legislation referred to as fa rm bills. 
The previous farm bill, the Agriculture Improvement Act of 2018 ( P.L. 115 -334), was extended 
by one year ( P.L. 118 -22)—until September 30, 2024, and for the 2024 crop year. The farm bill 
covers  numerous  policies and programs , including commodity support, conservation, trade and 
food aid, domestic food assistance, credit, rural develo pment, research, forestry, energy, 
horticulture, and crop insurance , among others . 
The Farm, Food, and National Security Act of 2024  (H.R. 8467 ) was introduced on May 21, 2024 . On May 23, 2024, the 
House Committee on Agriculture ordered  the bill  reported favorably to the House by a vote of 33 -21. On August 2, 2024, the 
Congressional Budget Office published a score of  H.R. 8467 . The score  indicat es the bill would increase direct (mandatory) 
spending  that is  subject to budget enforcement by $15.4 billion over five years (FY2025 -FY2029) and by $33 .0 billion over 
nine years  (FY2025 -FY2033). This  would  include a ne t increase of about $ 43.4 billion  over nine years  for commodity 
support programs ; a net decrease of $1.8 billion for conservation programs ; a net decrease of $20.6 billion  for the domestic 
nutrition programs  by limiting future increases to the Thrifty Food  Plan (TFP) that is used to determine Supplemental 
Nutrition Assistance Program (SNAP)  benefit levels ; and an increase of $12.0 billion for other titles .  
H.R. 8467  would reauthorize most existing programs through FY2029, with modifications to specific programs and funding 
levels. H.R. 8467  would amend and extend commodity support programs unde r Title I and increase the revenue guarantees",
2,"[ 0.24865633 -0.09684312  0.1691765  ... -0.38993192  0.35968152
  0.01959841]","levels. H.R. 8467  would amend and extend commodity support programs unde r Title I and increase the revenue guarantees 
and reference prices for commodities covered under the Agricultural Risk Coverage and Price Loss Coverage programs, 
respectively. The bill would provide a one -time opportunity to grant eligible producers new ba se acre holdings. The bill 
would restrict the U.S. Department of Agriculture ’s (USDA ’s) discretionary use of the Commodity Credit Corporation over 
the next decade. Within the conservation title (Title II), nearly all programs would receive increased mandat ory funding. The 
bill would reauthorize the Conservation Reserve Program at its current level of 27 million acres. H.R. 8467  would emphasize 
the use of precision agriculture technol ogy within the Environmental Quality Incentives Program and Conservation 
Stewardship Program working lands programs. Title III would reauthorize all international food aid programs and seek to 
expand opportunities for U.S. grown commodities, including frui ts and vegetables, in international markets.  
H.R. 8467 , Title IV,  would amend domestic nutrition policy through changes to the SNAP eligibility and benefit calculations 
and adjustme nts to state administration of the program. The bill would reauthorize and increase funding for several food 
distribution and assistance programs, including The Emergency Food Assistance Program. H.R. 8467  would amend the 
process for updating the TFP, adding constraints that would prevent USDA from reevaluating the market basket in a way that 
would exceed inflation.  
The bill would increase loan limits authorized under the credit tit le (Title V) for individual borrowers for USDA farm loan 
programs and allow the Farm Credit System to make loans for essential community services. The bill would support rural 
communities under Title VI by reauthorizing rural development programs to addres s rural health care focused on substance 
use disorder prevention and treatment, broadband deployment with new minimum buildout speed requirements, business 
development, and rural child care, among other  issues . Title VII would increase appropriations for e xtension and research 
activities; designate new high -priority research areas, including fertilizer and nutrient management; and establish a 
commission to modernize the National Agricultural Statistics Service.",
3,"[ 0.03950675  0.00346243  0.19739425 ...  0.25949693 -0.21968368
  0.17224653]","activities; designate new high -priority research areas, including fertilizer and nutrient management; and establish a 
commission to modernize the National Agricultural Statistics Service.  
H.R. 8467  would establish new programs under the forestry title (Title VIII) related to biochar and white oak restoration, as 
well as increase wildfire management activities and implement giant sequoia protection procedures. Th e bill would require 
USDA to study solar panel installation on farmland and develop a department -wide strategy for sustainable aviation fuel 
production under Title IX. Title X would increase available funding for certain specialty crop programs, establish new and 
update existing statutory definitions related to hemp cultivation, and amend certain pesticide regulatory requirements. Title  
XI would increase subsidies for crop insurance premiums for beginning and veteran farmers and ranchers, increase coverage 
levels for whole farm insurance policies, and provide additional support for administrative and operating costs for approved 
insurance providers.  Areas addressed in the miscellaneous title (Title XII)  include increased mandatory funding for several 
animal health, disease prevention, and veterinary programs for livestock and additional  reporting requirements for foreign 
land ownership . R48167  
August 27, 2024  
Frank Gottron, 
Coordinator  
Section Research Manager",
4,"[-0.03433194  0.05220293  0.26938009 ...  0.03502134  0.26168442
 -0.18308669]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 3]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service  Contents  
Introduction  ................................ ................................ ................................ ................................ ..... 1 
Budgetary Impact  ................................ ................................ ................................ ............................  2 
Title-by-Title Summary  ................................ ................................ ................................ ...................  5 
Title I, Commodities  ................................ ................................ ................................ .................  5 
Commodity Policy  ................................ ................................ ................................ ..............  5 
Marketing Loans  ................................ ................................ ................................ .................  6 
Sugar  ................................ ................................ ................................ ................................ ... 6 
Dairy  ................................ ................................ ................................ ................................ ... 6 
Supplemental Agricultural Disaster Assistance Programs  ................................ ..................  7 
Administration: Payment Limits and Eligibility Criteria  ................................ ....................  7 
Title II, Conservation  ................................ ................................ ................................ ................  7 
Conservation Reserve Program  ................................ ................................ ...........................  7 
Environmental Quality Incentives Program and Conservation Stewardship 
Program  ................................ ................................ ................................ ............................  8 
Agricultural Conservation Easement Program  ................................ ................................ ... 8 
Forest Conservation Easement Program  ................................ ................................ .............  8 
Title III, Trade  ................................ ................................ ................................ ...........................  9 
Title IV, Nutrition  ................................ ................................ ................................ ....................  10 
Supplemental Nutrition Assistance Program  ................................ ................................ .... 10 
Food Distribution Programs  ................................ ................................ ...............................  11 
Other Nutrition Programs and Polici es ................................ ................................ .............  12 
Title V , Credit  ................................ ................................ ................................ ..........................  12 
Title VI, Rural Development  ................................ ................................ ................................ ... 13 
Rural Health Care  ................................ ................................ ................................ .............  13 
Broadband Deployment  ................................ ................................ ................................ .... 13 
Busin ess Development  ................................ ................................ ................................ ...... 14 
Infrastructure Development  ................................ ................................ ..............................  14 
Other Issues  ................................ ................................ ................................ .......................  14",
5,"[ 0.31209049  0.07670986 -0.08998844 ... -0.39498949 -0.12146063
 -0.02521884]","Busin ess Development  ................................ ................................ ................................ ...... 14 
Infrastructure Development  ................................ ................................ ..............................  14 
Other Issues  ................................ ................................ ................................ .......................  14 
Title VII, Research, Extension, and Related Matters  ................................ ..............................  14 
Title VIII, Forestry  ................................ ................................ ................................ ..................  15 
Title IX, Energy  ................................ ................................ ................................ .......................  16 
Title X, Horticulture, Marketing, a nd Regulatory Reform  ................................ ......................  18 
Title XI, Crop Insurance  ................................ ................................ ................................ ..........  19 
Policyholders  ................................ ................................ ................................ ....................  19 
AIPs  ................................ ................................ ................................ ................................ .. 19 
USDA  ................................ ................................ ................................ ................................  19 
Title XII, Miscellane ous ................................ ................................ ................................ ..........  20 
Livestock and Other Animals  ................................ ................................ ............................  20 
Department of Agriculture Reorganization Act of 1994  ................................ ...................  21 
National Security  ................................ ................................ ................................ ..............  21 
Other Miscellaneous Provisions  ................................ ................................ .......................  21 
Provisions of H.R. 8467 Compared with Current Law  ................................ ................................ . 21 
Farm Bill Key CRS Policy Staff ................................ ................................ ................................ .. 135",
6,"[ 0.14845076  0.04207031  0.16554478 ... -0.12983595  0.33037922
 -0.09977137]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 4]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service  Tables  
Table 1. Estimated Changes in Mandatory Spending Under H.R. 8467  ................................ .........  4 
Table 2. Title I, Commodities  ................................ ................................ ................................ ........  22 
Table 3. Title II, Conservation  ................................ ................................ ................................ ....... 33 
Table 4. Title III, Trade  ................................ ................................ ................................ ..................  53 
Table 5. Title IV , Nutritio n................................ ................................ ................................ .............  59 
Table 6. Title V , Credit  ................................ ................................ ................................ ...................  70 
Table 7. Title VI, Rural Development  ................................ ................................ ...........................  76 
Table 8. Title VII, Research, Extension, and Related Matters  ................................ .......................  85 
Table 9. Title VIII, Forestry  ................................ ................................ ................................ ...........  97 
Table 10. Title IX, Energy  ................................ ................................ ................................ ............  111 
Table 11. Title X, Horticulture, Marketing, and Regulatory Reform  ................................ ...........  114 
Table 12. Title XI, Crop Insurance  ................................ ................................ ..............................  120 
Table 13. Title XII, Miscellaneous  ................................ ................................ ..............................  124 
Table 14. Farm Bill  Key CRS Policy Staff  ................................ ................................ ..................  135 
  
Contacts  
Author Information  ................................ ................................ ................................ ......................  136",
7,"[ 0.13397115 -0.02214883  0.32829264 ... -0.00973052  0.24990931
  0.16323616]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 5]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   1 Introduction  
Congress has established federal policy related to the food and agriculture sectors through 
periodic farm bills since the 1930s. The farm bill,  an omnibus, multiyear law, is the primary piece 
of legislation that governs an array of agricultural and food market programs. As technology, 
economic conditions, and the agriculture system have evolved, Congress has regularly revisited 
agricultural polic y through farm legislation. Policy areas addressed in farm bills have expanded 
from providing support for selected commodities to including an array of programs and policies, 
such as commodity support, conservation, trade, domestic nutrition assistance, cr edit, rural 
development, research, forestry, energy, horticulture, and crop insurance. Congress has passed 18 
farm bills.1  
Certain programs included in the farm bill are permanently authorized and would continue in the 
absence of new farm legislation. Ot hers, such as support programs for commodities including 
dairy, wheat, rice, cotton, and corn, would expire and return to so -called “permanent laws” dating 
back to the 1930s and 1940s. Under permanent law, the U.S. Department of Agriculture (USDA) 
would be  required to support eligible commodities at levels that exceed 2024 market prices, 
incurring billions of dollars in additional government expenditures and higher prices for 
consumers, while ending support for some commodities including soybeans, peanuts, and sugar.2 
Congress passed a one -year extension ( P.L. 118 -22, Division B, §102) to the Agriculture 
Improvement Act of 2018 (2018 farm bill;  P.L. 115 -334) to extend expiring authorizations 
through September 30, 2024, and for the 2024 crop year.3  
The Farm, Food, and National Security Act of 2024 ( H.R. 8467 ) would add, amend, and 
reauthorize programs in the 2018 farm bill that would expire in 2024 without further legislative 
action. H.R. 8467  was introduced on May 21, 2024. The House Committee on Agriculture",
8,"[ 0.06117898 -0.20984179 -0.21073811 ... -0.33949751  0.06547411
  0.0051344 ]","reauthorize programs in the 2018 farm bill that would expire in 2024 without further legislative 
action. H.R. 8467  was introduced on May 21, 2024. The House Committee on Agriculture 
considered the bill and ordered it reported favorably to the House on May 23, 2024, by a vote of 
33-21. Du ring markup, Members considered 59 amendments  and adopted 25 (19 by en bloc).4 
Four amendments failed by recorded vote , eighteen  amendments were offered and withdrawn 
after some discussion , and twelve  amendments were not offered.  
The Senate Committee on A griculture, Nutrition, and Forestry has not released bill text for a farm 
bill. The majority released a summary and section -by-section for a bill on May 1, 2024.5 The 
minority similarly posted a framework on June 11, 2024.6 Neither release has legislativ e detail or 
completeness to compare with the bill in the House. No markup has been scheduled.  
This report provides a summary of each title included in H.R. 8467 , as ordered reported , using 
available information on the proposed legislation. As of the writing of this report, an amended 
version of H.R. 8467 , as ordered reported, has not been published. The Congre ssional Research 
 
1 CRS Report RS22131, What Is the Farm Bill? .  
2 For more information on farm bill expiration, see CRS Report R47659, Expiration of the 2018 Farm Bill and 
Extension in 2024 .  
3 CRS Report R45210, Farm Bills: Major Legislative Actions, 1965 -2024 . 
4 U.S. House of Representatives Committee Repository, “H.R. 8467 (118th Congress), The Farm, Food, and National 
Security Act of 2024,” https://docs.house.gov/ Committee/ Calendar/ ByEvent.aspx? EventId= 117371 . 
5 Senate Agriculture Committee  (minority), “ Chairwoman Stabenow Unveils the Rural Prosperity and Food Security 
Act,” https://www.agricult ure.senate.gov/ newsroom/ dem/ press/ release/ chairwoman -stabenow -unveils -the-rural -",
9,[0.74277186 0.2354625  0.03363369 ... 0.05007444 0.32355693 0.0455789 ],"Act,” https://www.agricult ure.senate.gov/ newsroom/ dem/ press/ release/ chairwoman -stabenow -unveils -the-rural -
prosperity -and-food-security -act.  
6 Senate Agriculture Committee (minority), “ Boozman Unveils Senate Ag Republicans Framework Answering Call to 
Put More Farm in the Farm Bill,” https://www.agriculture.senate.gov/ newsroom/ rep/press/ release/ boozman -unveils -
senate -ag-republicans -framework -answering -call-to-put-more -farm -in-the-farm -bill.",
