ID,Embedding,Document,Metadata
0,"[-0.27849731  0.37365031 -0.28963327 ... -0.16132762 -0.38613686
 -0.03595449]","[Extract from GAO_PDF_20241020_220257.pdf - Page 1]
 
          
 RURAL 
DEVELOPMENT 
Actions Needed to 
Improve Assistance to Southwest Border Communities Known as Colonias  
 
 
 Report to Congressional Committees  
September 2024  
 
GAO -24-106732   
 United States Government Accountability Office",
1,"[-0.26362428  0.32944843 -0.1472569  ... -0.1990491   0.02684183
 -0.11433221]","[Extract from GAO_PDF_20241020_220257.pdf - Page 2]
 
  United States Government Accountability Office  
   
Highlights o f GAO -24-106732 , a report to 
congressional committees   
September 2024  
RURAL DEVELOPMENT  
Actions Needed to Improve Assistance to Southwest 
Border Communities Known as Colonias  
What GAO Found 
Colonias —predominately rural, Hispanic communities near the U.S. -Mexico 
border —face a range of economic, infrastructure, and environmental challenges . 
For example, regions with colonias have poverty rates 3 to 9 percentage points 
higher than other border regions.  Further, h ousing values in areas with colonias 
are generally lower than those in the other border regions of each state, while the 
vacan cy rates  are generally higher.  
Five Department of Housing and Urban Development ( HUD ) and U.S. 
Department of Agriculture ( USDA ) programs  provide grants and loans targeted 
specifically to  colonias  to improve water  and wastewater  systems and housing.  
However, USDA’s Single Family Housing programs  do not have a process for 
identifying applications for projects in colonias . As a result , the agency  does not 
have reliable  data on the extent to which its programs are benefiting  colonias, 
and aligning with agency and statutory goals for supporting these communities . 
Many colonias face challenges in obtaining and using federal assistance. For 
example, l ocal governments may not have the staff capacity to apply for some 
federal ly funded programs. In addition, the rural nature of these communities 
often makes it expensive to connect to existing infrastructure. To help address 
these challenges , HUD and USDA  offer technical assistance and grants.  
Due to population changes, nearly 60 percent of colonias will likely become 
ineligible in the future for certain targeted financial assistance. By statu te, U.S. -
Mexico border states must set aside a percentage of their HUD Community Development Block Grant (CDBG) funding for colonias located within 
metropolitan statistical areas  of 1 million persons or less. However, many",
2,"[-0.05083105  0.34010354  0.04934009 ... -0.22444686 -0.37832263
 -0.06955934]","Mexico border states must set aside a percentage of their HUD Community Development Block Grant (CDBG) funding for colonias located within 
metropolitan statistical areas  of 1 million persons or less. However, many 
colonias are now part of areas that likely will soon exceed this threshold.  This 
would render them ineligible for the set -aside , even though many of these areas 
continue to have rural characteristics.  Revising the population requirement could 
help preserve eligibility for many communities that were originally intended to 
benefit from  the set-aside. 
 
A Colonia No Longer Eligible for Department of Housing and Urban Development Funding 
Remains Rural and Faces Poor Housing Conditions   
 
View GAO -24-106732 . For more information, 
contact Jill Naamane at (202) 512 -8678 or 
naamanej@gao.gov . Why GAO Did This Study  
Colonias generally refer to rural 
communities in the border regions of 
Arizona, California, New Mexico, and 
Texas that are characterized by 
substandard housing and lack of 
access to adequate water and 
wastewater infrastructure. The Joint 
Explanatory Statement  accompanying 
the Consolidated Appropriations Act, 
2023 includ es a provision for GAO to 
review the conditions of colonias  and 
issues related to  federal assistance 
available to them . 
This report examines  conditions in 
colonias,  the federal assistance 
available to them , and challenges  they 
may face in obtaining and using  federal 
assistance.  GAO analyzed American 
Community Survey data  and reviewed 
USDA and HUD program 
documentation and funding data for 
fiscal years 2020 –2023. GAO also 
interview ed representatives of federal 
agencies, state governments, and 
interest groups . GAO made physical 
observations and conducted interviews 
with local officials during site visits to 
24 colonias in the four  U.S. -Mexico  
border states.  
What GAO Recommends  
Congress should consider revising the 
population  requirement for colonias to 
receive CDBG set-aside funding given 
population growth in the Southwest .",
3,"[ 0.01171247  0.42677128  0.00687828 ... -0.01440879 -0.45684823
 -0.03464622]","What GAO Recommends  
Congress should consider revising the 
population  requirement for colonias to 
receive CDBG set-aside funding given 
population growth in the Southwest . 
GAO is also mak ing two  
recommendations to USDA , including 
that it develop procedures to identify 
applications for  Single  Family Housing 
assistance for projects in colonias . 
USDA agreed with both 
recommendations.",
4,"[ 0.08908913  0.35216403 -0.08478005 ... -0.36005905  0.20661609
 -0.11083271]","[Extract from GAO_PDF_20241020_220257.pdf - Page 3]
 
          
Page i GAO -24-106732  Colonias Communities  Letter  1 
Background  4 
Areas with Colonias Generally Face Economic, Infrastructure, and 
Environmental Challenges  6 
Five Federal Programs Provide Assistance to Colonias; Two 
USDA Programs Have Data Reliability Weaknesses  24 
Colonias Face Challenges in Obtaining and Using Federal 
Assistance, and Many May Soon Become Ineligible 37 
Conclusions  47 
Matter for Congressional Consideration 47 
Recommendations for Executive Action  47 
Agency Comments  48 
Appendix I  Objectives, Scope, and Methodology  49 
 
Appendix II  Selected Characteristics of Colonias and Areas with Colonias in  
Each of the Four Border States  57 
 
Appendix III  Other Federal Programs That May Assist Colonias  66 
 
Appendix IV  GAO Contact and Staff Acknowledgments  69 
 
Tables  
Table 1: Federal Programs That Provide Targeted Assistance to 
Colonias  25 
Table 2: Annual Obligations to Projects in Colonias from HUD 
Community Development Block Grant Colonias Set-Aside, 
Fiscal Years 2020– 2023 26 
Table 3: Annual Obligations to Colonias and Residents for 
Selected USDA Water and Environmental Programs, Fiscal Years 2020– 2023 29 
Table 4: Estimated Annual Obligations to Colonia Residents from 
Selected USDA Single Family Housing Programs, Fiscal Years 2020– 2023 32 Contents",
5,"[ 0.32506838  0.56269592  0.34645703 ...  0.02111797 -0.22621387
 -0.32575226]","[Extract from GAO_PDF_20241020_220257.pdf - Page 4]
 
          
Page ii GAO -24-106732  Colonias Communities  Table 5: Definitions of Colonias for Programs with Colonia-
Targeted Funding 34 
Table 6: USDA Programs with Special Features for Colonias  67 
Table 7: Selected Federal Programs Useful to Colonias  68 
 
Figures  
Figure 1: Location of Colonias in Arizona, California, New Mexico, 
and Texas, as of 2010  5 
Figure 2: Selected Economic Characteristics in Areas with 
Colonias, 2017– 2021 8 
Figure 3: Examples of Different Housing Types in Colonias 10 
Figure 4: Selected Housing Characteristics in Areas with Colonias, 
2017– 2021 11 
Figure 5: Selected Occupancy Characteristics of Housing in Areas 
with Colonias, 2017– 2021 13 
Figure 6: Cistern at a Home in a Texas Colonia  16 
Figure 7: Example of Illegal Dumping in a Texas Colonia 17 
Figure 8: Increase in Annual Number of Days with a Maximum 
Temperature over 90 Degrees in Areas with Colonias by 
Midcentury  19 
Figure 9: Risk of Wildfire in Areas with Colonias  21 
Figure 10: Risk of Flooding in Areas with Colonias  22 
Figure 11: Risk of Storm Surge from a Hurricane in Areas with 
Colonias  23 
Figure 12: Projects in Arizona and Texas Funded with Community 
Development Block Grant (CDBG) Colonias Set-Aside 
Funds  27 
Figure 13: Project in New Mexico Funded by the U.S. Department 
of Agriculture’s Water and Waste Facility Loans and Grants to Alleviate Health Risks Program  30 
Figure 14: Project in an Arizona Colonia Funded by the U.S. 
Department of Agriculture’s Single Family Housing Programs 33 
Figure 15: Colonias That May Lose Eligibility for Community 
Development Block Grant (CDBG) Colonias Set-Aside Funding  44 
Figure 16: Conditions in and around a Colonia in Pinal County, 
Arizona, That Is Included in the Phoenix Metropolitan Statistical Area 45",
6,"[ 0.42817411  0.9128418   0.28590009 ...  0.02486262 -0.22180258
  0.10088544]","Development Block Grant (CDBG) Colonias Set-Aside Funding  44 
Figure 16: Conditions in and around a Colonia in Pinal County, 
Arizona, That Is Included in the Phoenix Metropolitan Statistical Area 45 
Figure 17: Groups of Census Tracts Used as Units of Analysis  51",
7,"[-0.25232649  0.08953191  0.51962674 ...  0.04880777 -0.28811848
 -0.13497797]","[Extract from GAO_PDF_20241020_220257.pdf - Page 5]
 
          
Page iii GAO -24-106732  Colonias Communities  Figure 18: Selected Characteristics of Colonias and Areas with 
Colonias in Arizona 58 
Figure 19: Selected Characteristics of Colonias and Areas with 
Colonias in California  60 
Figure 20: Selected Characteristics of Colonias and Areas with 
Colonias in New Mexico 62 
Figure 21: Selected Characteristics of Colonias and Areas with 
Colonias in Texas  64 
 
 
                   
Abbreviations 
 CDBG   Community Development Block Grant 
EPA  Environmental Protection Agency  
HUD   Department of Housing and Urban Development 
MSA   metropolitan statistical area 
USDA   U.S. Department of Agriculture  
 
This is a work of the U.S. government and is not subject to copyright protection in the 
United States. The published product may be reproduced and distributed in its entirety 
without further permission from GAO. However, because this work may contain 
copyr ighted images or other material, permission from the copyright holder may be 
necessary if you wish to reproduce this material separately.",
8,"[ 0.02104759  0.3169432  -0.08737843 ... -0.18237278 -0.25930771
 -0.19922946]","[Extract from GAO_PDF_20241020_220257.pdf - Page 6]
 
  
Page 1  GAO -24-106732  Colonias Communities  441 G St. N.W.  
Washington, DC 20548  
September 19, 2024 
The Honorable Brian Schatz  
Chair  
The Honorable Cindy Hyde-Smith  
Ranking Member  
Subcommittee on Transportation, Housing and Urban Development, and 
Related Agencies  
Committee on Appropriations  
United States Senate  
The Honorable Steve Womack  
Chair man 
The Honorable Mike Quigley  
Ranking Member  
Subcommittee on Transportation, Housing and Urban Development, and 
Related Agencies  
Committee on Appropriations  
House of Representatives  
Colonias have historically been characterized as rural communities with a 
majority Hispanic/Latino population and high rates of poverty. Although 
there is no universally accepted definition of “colonias, ” in the United 
States the term generally refers to communities along the U.S.-Mexico border with substandard housing and lack of access to adequate water 
and wastewater infrastructure.
1 According to the Department of Housing 
and Urban Development (HUD), as of 2010 there were over 2,000 
communities designated as colonias across Arizona, California, New 
Mexico, and Texas.2 
Several pieces of legislation were enacted in the early 1990s to help 
address conditions in colonias. For example, the Cranston-Gonzalez 
National Affordable Housing Act directed the U.S.-Mexico border states to 
set aside a percentage of their annual state Community Development 
 
1In this report, the U.S. -Mexico border region refers to the area of the United States within 
150 miles of the border between the United States and Mexico.  
2These data were the most current available.   Letter",
9,"[-0.0366695   0.53419739 -0.02081531 ...  0.00401339 -0.23078148
 -0.03511911]","[Extract from GAO_PDF_20241020_220257.pdf - Page 7]
 
     
Page 2  GAO -24-106732  Colonias Communities  Block Grant (CDBG) allocation to fund community development and 
housing activities in colonias, as defined by law.3 
The Joint Explanatory Statement to the Consolidated Appropriations Act, 
2023 includes a provision for us to review conditions of and federal assistance for colonias, along with how federal agencies define colonias.
4 
This report (1) describes conditions in colonias, (2) examines federal 
assistance available to colonias, and (3) examines challenges that may 
affect colonias in obtaining and using federal assistance and federal 
efforts to mitigate those challenges.  
To address all objectives, we visited 24 colonias in Arizona, California, New Mexico, and Texas to observe conditions and projects funded by federal programs. Within each state, we selected colonias that were in 
both incorporated and unincorporated areas and that reflected a variety of 
types and amounts of federal funding, among other criteria. Information 
we obtained from these site visits is not generalizable to all colonias. 
Additionally, we interviewed federal, state, and local government officials 
and representatives from national and local nonprofit organizations who 
work in colonias.  
For our first objective, we analyzed 2010 HUD and University of New 
Mexico geospatial data on colonias and 2020 Census Bureau data to 
determine in which census tracts colonias were located. We then 
analyzed data from the 2017– 2021 American Community Survey  to 
compare economic and housing conditions in these census tracts with 
others in the border regions of each state. Additionally, we analyzed data 
sets from relevant federal agencies to describe the environmental risk of 
heat, wildfires, flooding, and hurr icane storm surge in census tracts with 
colonias.
5 
 
3Cranston-Gonzalez National Affordable Housing Act, Pub. L. No. 101-625, § 916, 104 
Stat. 4079, 4396-4397 (1990) (codified as amended at 42 U.S.C. § 5306 note).",
